ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
9427,180000,2,1,2,30,0,0,0,0,2,2,149525,152460,154206,135881,130728,123155,7320,6100,9710,4800,0,4300,0
9184,130000,1,1,2,27,0,0,0,0,0,0,32464,33805,34810,35194,35951,36703,1867,1872,1256,1500,1500,1500,0
11060,320000,1,2,2,32,1,2,2,2,2,2,114180,115491,109226,111673,111053,105999,5012,11,7013,4014,57,5031,0
12493,20000,2,3,1,33,0,0,0,0,0,0,2909,3537,4120,3802,3484,3152,1224,1197,269,269,261,227,0
23263,250000,2,1,2,44,-1,-1,-2,-2,-1,-1,891,-33,-33,-33,267,144,0,0,0,300,144,0,0
17492,100000,2,3,2,31,0,-1,-1,0,-1,-1,15856,510,2279,1796,466,466,510,2279,1730,466,466,468,0
15706,50000,1,2,2,35,0,0,0,0,0,0,47816,49694,48543,46366,9076,9812,3000,3000,3019,3000,1000,2000,0
17142,130000,2,2,2,26,0,0,0,0,0,0,187600,185945,183828,164667,132746,57989,6074,6037,4646,4230,1941,2151,0
27071,230000,1,1,2,44,0,0,0,0,0,0,25949,27214,28472,29696,31393,33222,2000,2000,2000,2500,2500,3000,0
16008,70000,2,2,2,22,2,2,2,2,0,0,69242,71007,72596,70467,48129,47751,3500,3300,0,2000,2000,2000,0
9451,500000,1,1,1,44,-1,-1,-1,-1,-1,-1,150758,62931,21296,19897,4460,4195,63256,21408,19996,4482,4212,16748,0
12046,80000,2,2,1,46,0,0,0,0,0,0,76270,77376,38556,34345,36020,38420,3400,3000,3000,3000,3000,3000,0
11941,410000,1,1,2,37,0,0,0,0,0,0,59728,66109,67396,70701,74590,78380,8000,3000,4400,5000,5033,345,0
29423,50000,1,2,2,31,0,0,0,0,0,-1,47533,48640,49483,40850,0,800,2200,2000,3000,0,400,20000,0
20188,500000,2,1,2,33,-1,-1,-1,-1,-1,-2,249,2655,249,99,-150,-150,2655,249,99,150,0,0,0
16925,320000,1,2,1,50,0,0,0,0,0,0,277884,281848,288726,293969,247873,250870,10100,11422,11006,10011,9091,7026,0
28935,50000,2,2,2,37,0,0,0,-1,0,0,4793,3594,0,5369,3746,9408,3000,0,5369,0,9000,10000,0
6325,500000,1,1,1,49,-1,-1,-1,-1,-1,-1,12939,28805,41027,36073,46096,103065,28954,41027,36073,46096,103065,154321,0
21757,270000,2,2,1,25,0,0,0,0,0,0,184560,178592,170225,156719,151716,153519,6061,6081,5072,5009,5254,4069,0
1037,150000,1,1,2,23,0,0,0,0,0,0,11109,83376,79726,76986,78038,78321,78016,3048,4000,3500,3000,3000,0
15411,50000,2,2,1,53,0,0,0,0,0,0,28509,29230,30356,31342,32644,32719,1500,1600,1498,2627,1400,1200,0
14265,70000,2,2,3,42,0,0,0,0,-1,-1,69486,68650,65458,19087,10220,11913,3000,1604,1000,10220,11913,10000,0
28957,500000,2,1,2,44,-2,-2,-2,-2,-2,-2,522,17643,1462,6224,0,0,20007,5000,7000,0,0,0,0
14732,150000,2,2,2,29,0,0,0,0,0,0,84357,86398,64763,66093,62568,63828,2841,3000,1839,1773,1792,1846,0
22870,120000,2,2,2,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
20375,10000,1,2,2,21,0,0,0,0,0,0,7327,8244,9259,9757,9887,9987,1500,1300,1000,206,2094,0,0
10705,200000,2,1,2,33,0,0,0,0,0,0,150573,140844,144245,135946,135736,134500,6550,7200,5300,5400,5240,5260,0
8697,50000,1,3,1,43,2,2,2,0,0,0,10413,12923,12030,12650,13405,13793,3000,0,1500,1500,1000,1500,0
156,140000,1,1,1,34,0,0,0,0,0,0,23944,28049,32073,43129,47086,48699,5000,5000,11885,5000,3000,5504,0
20744,220000,1,1,1,39,0,0,0,0,0,0,96473,97887,94776,72842,46747,44236,10000,4000,5063,2000,1605,1697,0
9667,60000,2,1,2,24,0,0,0,0,0,0,56119,57282,58533,59349,55302,56563,2664,2800,2400,2100,2181,2213,0
16043,30000,2,3,1,46,-1,-1,-1,2,0,0,2572,8822,5786,2749,28241,26960,8848,5869,0,26965,1066,3196,0
22137,100000,2,2,1,42,-2,-2,-2,-2,-2,-2,2811,1055,8090,5524,4973,1000,1055,8090,5549,4973,1000,1000,0
16646,180000,1,3,1,32,0,0,0,0,0,0,181293,177552,182492,180746,131166,114909,6400,8612,7534,5506,4850,5000,0
11619,180000,2,2,2,33,1,-2,-2,-2,-2,-2,5931,2294,900,0,0,0,2294,900,0,0,0,788,0
4338,140000,2,2,3,30,0,0,0,0,0,0,107060,104629,98453,96149,96500,96550,4598,4333,3381,3637,3645,3440,0
